geo_gpl	bioc_package	metric	median
GPL2507	Humanv1	percent ids in probes	0.9998308560796668
GPL2507	Humanv1	percent probes in ids	1
GPL2507	Humanv2	percent ids in probes	0
GPL2507	Humanv2	percent probes in ids	0
GPL2507	Humanv3	percent ids in probes	0
GPL2507	Humanv3	percent probes in ids	0
GPL2507	Humanv4	percent ids in probes	0
GPL2507	Humanv4	percent probes in ids	0
GPL6102	Humanv1	percent ids in probes	0
GPL6102	Humanv1	percent probes in ids	0
GPL6102	Humanv2	percent ids in probes	1
GPL6102	Humanv2	percent probes in ids	0.9842161637800367
GPL6102	Humanv3	percent ids in probes	0.7669452372641219
GPL6102	Humanv3	percent probes in ids	0.7534089075359045
GPL6102	Humanv4	percent ids in probes	0.6001519475986119
GPL6102	Humanv4	percent probes in ids	0.6075623090194774
GPL6947	Humanv1	percent ids in probes	0
GPL6947	Humanv1	percent probes in ids	0
GPL6947	Humanv2	percent ids in probes	0.7653422945310739
GPL6947	Humanv2	percent probes in ids	0.7548553990420566
GPL6947	Humanv3	percent ids in probes	1
GPL6947	Humanv3	percent probes in ids	0.984407777957076
GPL6947	Humanv4	percent ids in probes	0.8078601725303772
GPL6947	Humanv4	percent probes in ids	0.819548090714449
GPL10558	Humanv1	percent ids in probes	0
GPL10558	Humanv1	percent probes in ids	0
GPL10558	Humanv2	percent ids in probes	0.6176277919827567
GPL10558	Humanv2	percent probes in ids	0.5906913764879449
GPL10558	Humanv3	percent ids in probes	0.8331255414914523
GPL10558	Humanv3	percent probes in ids	0.7952638373406486
GPL10558	Humanv4	percent ids in probes	1
GPL10558	Humanv4	percent probes in ids	0.983702995406074
